BRITANNIA: ROE anomaly | computed=32.83, source=57.1
BRITANNIA: ROCE anomaly | computed=59.09, source=48.9
BRITANNIA: ROE anomaly | computed=29.48, source=57.1
BRITANNIA: ROE anomaly | computed=27.16, source=57.1
BRITANNIA: ROE anomaly | computed=31.66, source=57.1
BRITANNIA: ROCE anomaly | computed=55.87, source=48.9
BRITANNIA: ROCE anomaly | computed=62.20, source=48.9
BRITANNIA: ROE anomaly | computed=65.53, source=57.1
BRITANNIA: ROCE anomaly | computed=62.14, source=48.9
BRITANNIA: ROCE anomaly | computed=60.64, source=48.9
CANBK: High D/E suppressed (Financial sector)
CANBK: ROE anomaly | computed=11.90, source=17.9
CANBK: High D/E suppressed (Financial sector)
CANBK: ROE anomaly | computed=8.85, source=17.9
CANBK: High D/E suppressed (Financial sector)
CANBK: ROE anomaly | computed=9.02, source=17.9
CANBK: High D/E suppressed (Financial sector)
CANBK: ROE anomaly | computed=-7.82, source=17.9
CANBK: High D/E suppressed (Financial sector)
CANBK: ROE anomaly | computed=4.07, source=17.9
CANBK: ROCE anomaly | computed=12.28, source=6.63
CANBK: High D/E suppressed (Financial sector)
CANBK: ROE anomaly | computed=-10.50, source=17.9
CANBK: ROCE anomaly | computed=13.10, source=6.63
CANBK: High D/E suppressed (Financial sector)
CANBK: ROE anomaly | computed=1.85, source=17.9
CANBK: ROCE anomaly | computed=16.18, source=6.63
CANBK: High D/E suppressed (Financial sector)
CANBK: ROE anomaly | computed=-4.66, source=17.9
CANBK: ROCE anomaly | computed=13.18, source=6.63
CANBK: High D/E suppressed (Financial sector)
CANBK: ROE anomaly | computed=4.74, source=17.9
CANBK: ROCE anomaly | computed=18.31, source=6.63
CANBK: High D/E suppressed (Financial sector)
CANBK: ROE anomaly | computed=8.80, source=17.9
CANBK: ROCE anomaly | computed=18.80, source=6.63
CANBK: High D/E suppressed (Financial sector)
CANBK: ROCE anomaly | computed=18.78, source=6.63
CANBK: High D/E suppressed (Financial sector)
CANBK: ROCE anomaly | computed=17.73, source=6.63
CHOLAFIN: High D/E suppressed (Financial sector)
CHOLAFIN: High D/E suppressed (Financial sector)
CHOLAFIN: ROCE anomaly | computed=15.78, source=10.4
CHOLAFIN: High D/E suppressed (Financial sector)
CHOLAFIN: ROCE anomaly | computed=16.06, source=10.4
CHOLAFIN: High D/E suppressed (Financial sector)
CHOLAFIN: ROCE anomaly | computed=16.02, source=10.4
CHOLAFIN: High D/E suppressed (Financial sector)
CHOLAFIN: ROCE anomaly | computed=15.96, source=10.4
CHOLAFIN: High D/E suppressed (Financial sector)
CHOLAFIN: High D/E suppressed (Financial sector)
CHOLAFIN: High D/E suppressed (Financial sector)
CHOLAFIN: ROE anomaly | computed=12.85, source=20.2
CHOLAFIN: High D/E suppressed (Financial sector)
CHOLAFIN: ROCE anomaly | computed=15.71, source=10.4
CHOLAFIN: High D/E suppressed (Financial sector)
CHOLAFIN: ROCE anomaly | computed=16.07, source=10.4
CHOLAFIN: High D/E suppressed (Financial sector)
CHOLAFIN: ROCE anomaly | computed=15.80, source=10.4
CHOLAFIN: High D/E suppressed (Financial sector)
CHOLAFIN: ROCE anomaly | computed=15.58, source=10.4
CIPLA: ROCE anomaly | computed=38.51, source=22.8
CIPLA: ROCE anomaly | computed=39.80, source=22.8
CIPLA: ROE anomaly | computed=11.38, source=16.8
CIPLA: ROCE anomaly | computed=38.70, source=22.8
CIPLA: ROCE anomaly | computed=37.81, source=22.8
CIPLA: ROE anomaly | computed=8.25, source=16.8
CIPLA: ROCE anomaly | computed=37.35, source=22.8
CIPLA: ROE anomaly | computed=9.96, source=16.8
CIPLA: ROCE anomaly | computed=37.19, source=22.8
CIPLA: ROE anomaly | computed=9.94, source=16.8
CIPLA: ROCE anomaly | computed=37.52, source=22.8
CIPLA: ROE anomaly | computed=9.52, source=16.8
CIPLA: ROCE anomaly | computed=38.28, source=22.8
CIPLA: ROCE anomaly | computed=39.43, source=22.8
CIPLA: ROCE anomaly | computed=40.25, source=22.8
CIPLA: ROCE anomaly | computed=39.24, source=22.8
CIPLA: ROCE anomaly | computed=40.19, source=22.8
